"ID","Graph_Name","Label","Skill_Developed","Playlist_URL","Standalone_URL"
KB-31,mov_31_kneelwindmill,"Half-Kneeling Windmill",,"https://www.youtube.com/watch?v=KTDVl0Lkdc4&list=PLk4oYPJ7TXKhX8YqA2AVrfgs_pEF6p7KA&index=31",
KB-32,mov_32_quartgu,"Quarter Turkish Get-Up",,"https://www.youtube.com/watch?v=KTDVl0Lkdc4&list=PLk4oYPJ7TXKhX8YqA2AVrfgs_pEF6p7KA&index=32",
KB-33,mov_33_kneelcapwindmill,"Half-Kneeling\nClean & Press Windmill",,"https://www.youtube.com/watch?v=KTDVl0Lkdc4&list=PLk4oYPJ7TXKhX8YqA2AVrfgs_pEF6p7KA&index=34",
KB-34,mov_34_halfgu,"Half Get-Up",,"https://www.youtube.com/watch?v=KTDVl0Lkdc4&list=PLk4oYPJ7TXKhX8YqA2AVrfgs_pEF6p7KA&index=35",
KB-35,mov_35_cap2ohsblunge,"Clean & Press to Overhead\nStep-Back Lunge",,"https://www.youtube.com/watch?v=KTDVl0Lkdc4&list=PLk4oYPJ7TXKhX8YqA2AVrfgs_pEF6p7KA&index=37",
KB-36,mov_36_kneelhipdrop,"Half-Kneeling Hip Drop",,"https://www.youtube.com/watch?v=KTDVl0Lkdc4&list=PLk4oYPJ7TXKhX8YqA2AVrfgs_pEF6p7KA&index=38",
KB-37,mov_37_halfgu2hip,"Half Get-Up\nto Hip Pass",,"https://www.youtube.com/watch?v=KTDVl0Lkdc4&list=PLk4oYPJ7TXKhX8YqA2AVrfgs_pEF6p7KA&index=39",
KB-38,mov_38_kneelcap2hip,"Half-Kneeling Clean & Press\nto Hip Drop",,"https://www.youtube.com/watch?v=KTDVl0Lkdc4&list=PLk4oYPJ7TXKhX8YqA2AVrfgs_pEF6p7KA&index=40",
KB-39,mov_39_boxsquat2boat,"Box Squat to Boat Pose",,"https://www.youtube.com/watch?v=KTDVl0Lkdc4&list=PLk4oYPJ7TXKhX8YqA2AVrfgs_pEF6p7KA&index=41",
KB-40,mov_40_bwspinalrock,"Spinal Rock\n(Bodyweight)",,"https://www.youtube.com/watch?v=KTDVl0Lkdc4&list=PLk4oYPJ7TXKhX8YqA2AVrfgs_pEF6p7KA&index=42",
KB-41,mov_41_flatbackpullover,"Flat Back Pullover",,"https://www.youtube.com/watch?v=KTDVl0Lkdc4&list=PLk4oYPJ7TXKhX8YqA2AVrfgs_pEF6p7KA&index=43",
KB-42,mov_42_halfgu2kneel,"Half Get-Up to Hip Pass\n(to Half-Kneeling)",,"https://www.youtube.com/watch?v=KTDVl0Lkdc4&list=PLk4oYPJ7TXKhX8YqA2AVrfgs_pEF6p7KA&index=45",
KB-43,mov_43_spinalrock,"Spinal Rock",,"https://www.youtube.com/watch?v=KTDVl0Lkdc4&list=PLk4oYPJ7TXKhX8YqA2AVrfgs_pEF6p7KA&index=48",
KB-44,mov_44_pushpress,"Push Press",,"https://www.youtube.com/watch?v=KTDVl0Lkdc4&list=PLk4oYPJ7TXKhX8YqA2AVrfgs_pEF6p7KA&index=49",
KB-45,mov_45_gobsquatcurl,"Rock-Bottom\nCurl with Goblet Squat",,"https://www.youtube.com/watch?v=KTDVl0Lkdc4&list=PLk4oYPJ7TXKhX8YqA2AVrfgs_pEF6p7KA&index=50",
KB-47,mov_47_racksquatpickup,"Rock-Bottom\nFront Squat Pickup","PAUSE AT BOTTOM","https://www.youtube.com/watch?v=KTDVl0Lkdc4&list=PLk4oYPJ7TXKhX8YqA2AVrfgs_pEF6p7KA&index=52",
KB-48,mov_48_thruster,"Thruster",,"https://www.youtube.com/watch?v=KTDVl0Lkdc4&list=PLk4oYPJ7TXKhX8YqA2AVrfgs_pEF6p7KA&index=48",
KB-49,mov_49_seatedpress,"Seated Two-Handed\nOverhead Press",,"https://www.youtube.com/watch?v=KTDVl0Lkdc4&list=PLk4oYPJ7TXKhX8YqA2AVrfgs_pEF6p7KA&index=54",
KB-50,mov_50_2hdeadclean2rack,"Two-Handed Dead Clean\nto Double Front Rack",,"https://www.youtube.com/watch?v=acqKxfMGAbk&list=PLk4oYPJ7TXKhX8YqA2AVrfgs_pEF6p7KA&index=55",
KB-51,mov_51_fourcountsquat,"Four-Count Squat\n(Bodyweight)",,,"https://www.youtube.com/watch?v=1rkGfL1EdWI"
KB-52,mov_52_rackaltshinbox,"Rack Alt Shinbox",,,"https://www.youtube.com/watch?v=AoEYX36Q2Zg"
KB-53,mov_53_hornygobsquat,"Handle Up\nGoblet Squat",,,"https://www.youtube.com/watch?v=i2AtDi4yZSA"
KB-54,mov_54_shinboxpress,"Contra Shinbox Press",,,"https://www.youtube.com/watch?v=FEbi2lKVEHU"
KB-55,mov_55_backpullsituppress,"Flat Back Pullover Situp Press",,"https://www.youtube.com/watch?v=KTDVl0Lkdc4&list=PLk4oYPJ7TXKhX8YqA2AVrfgs_pEF6p7KA&index=57",
KB-56,mov_56_suitcasedl,"Suitcase Deadlift",,"https://www.youtube.com/watch?v=d6i6MwVOmk0&list=PLk4oYPJ7TXKhX8YqA2AVrfgs_pEF6p7KA&index=58",
KB-57,mov_57_dblsuitcase,"Double Suitcase",,"https://www.youtube.com/watch?v=4PSOSrDcGfc&list=PLk4oYPJ7TXKhX8YqA2AVrfgs_pEF6p7KA&index=59",
KB-58,mov_58_dblsumodl,"Double Sumo Deadlift",,,"https://www.youtube.com/watch?v=gdutIla6nMw"
KB-59,mov_59_halfsnatchdown,"Half Snatch Down",,"https://www.youtube.com/watch?v=u2NbMtX_Rb0&list=PLk4oYPJ7TXKhX8YqA2AVrfgs_pEF6p7KA&index=60",
KB-60,mov_60_dblswing,"Double Swing",,"https://www.youtube.com/watch?v=P5IFTJySA_s&list=PLk4oYPJ7TXKhX8YqA2AVrfgs_pEF6p7KA&index=61","https://www.youtube.com/watch?v=P5IFTJySA_s"
KB-61,mov_61_halfsnatchup,"Half Snatch Up",,,"https://www.youtube.com/watch?v=3HEmUyLYjjc"
KB-62,mov_62_dblclean,"Double Clean",,"https://www.youtube.com/watch?v=Qe9ejhAtdGY&list=PLk4oYPJ7TXKhX8YqA2AVrfgs_pEF6p7KA&index=62","https://www.youtube.com/watch?v=Qe9ejhAtdGY"
KB-64,mov_63_dblrockit,"Double Rockit",,"https://www.youtube.com/watch?v=zXB6hFrrBkA&list=PLk4oYPJ7TXKhX8YqA2AVrfgs_pEF6p7KA&index=63","https://www.youtube.com/watch?v=zXB6hFrrBkA"
KB-64,mov_64_dbloutswing,"Double\nOutside Swing",,,"https://www.youtube.com/watch?v=yr_fRgGevsE"
KB-65,mov_65_dblcap,"Double\nClean & Press",,,"https://www.youtube.com/watch?v=RizGV8ef--s"
KB-66,mov_66_snatch,"Full Snatch",,"https://www.youtube.com/watch?v=f-zkPiAlpQw&list=PLk4oYPJ7TXKhX8YqA2AVrfgs_pEF6p7KA&index=65","https://www.youtube.com/watch?v=f-zkPiAlpQw"
KB-67,mov_67_dblsquat,"Double\nFront Squat",,"https://www.youtube.com/watch?v=dX5yXJa5Dm0&list=PLk4oYPJ7TXKhX8YqA2AVrfgs_pEF6p7KA&index=66","https://www.youtube.com/watch?v=dX5yXJa5Dm0"
KB-68,mov_68_dblclean2squat,"Double Clean\nto Front Squat",,,"https://www.youtube.com/watch?v=R3s6Wb_ApHM"
KB-69,mov_69_snatchpress,"Snatch Press",,"https://www.youtube.com/watch?v=IzFPa_Q1yHM&list=PLk4oYPJ7TXKhX8YqA2AVrfgs_pEF6p7KA&index=67","https://www.youtube.com/watch?v=IzFPa_Q1yHM"
KB-70,mov_70_kneelsnatchup,"Half-Kneeling Snatch Up",,,"https://www.youtube.com/watch?v=1_UrK5SopL4"
KB-71,mov_71_deaddblclean,"Dead Stop\nDouble Clean",,,"https://www.youtube.com/watch?v=22bKQqMqAQY"
KB-72,mov_72_deck,"Deck Squat",,,"https://www.youtube.com/watch?v=vUJ3sZVwZ4Y"
KB-73,mov_73_2hsbldl,"Two Hand Single\nBent Leg Deadlift",,,"https://www.youtube.com/watch?v=-RD1qqe7P8M"
KB-74,mov_74_dblhangclean2squat,"Double Hang Clean\nTo Squat",,,"https://www.youtube.com/watch?v=SdPEkv56Lt8"
KB-75,mov_75_2hssldl,"Two Hand Single\nStraight Leg Deadlift",,"https://www.youtube.com/watch?v=tMt2hzfFGzo&list=PLk4oYPJ7TXKhX8YqA2AVrfgs_pEF6p7KA&index=70","https://www.youtube.com/watch?v=tMt2hzfFGzo"
KB-76,mov_76_dblhangcap,"Double Dead Hang\nClean & Press",SLOW DOWN TO ENDURE,,"https://www.youtube.com/watch?v=ieDA4V9WGNQ"
KB-77,mov_77_shsldl,"Single Hand\nSingle Leg Deadlift",ONE-SIDE BALANCE,,"https://www.youtube.com/watch?v=1K4hgXfUinU"
KB-78,mov_78_dblcleansqpress,"Double Clean Squat Press",,,"https://www.youtube.com/watch?v=fWPDPBliCEk"
KB-79,mov_79_kneelsnatchdown,"Half-Kneeling Snatch Down",KB CLOSE TO BODY,,"https://www.youtube.com/watch?v=okO-7womT5Q"
KB-80,mov_80_dblhangcsp,"Double Dead\nHang Clean\nSquat Press",,,"https://www.youtube.com/watch?v=DpGOSw7kGO0"
KB-81,mov_81_kneelsnatch,"Half Kneeling\nFull Snatch",,,"https://www.youtube.com/watch?v=axx4kfUzkl4"
KB-82,mov_82_dblcleanpresssq,"Double Clean\nPress Squat",,,"https://www.youtube.com/watch?v=t5fDkX3vjiU"
KB-83,mov_83_dblcleansblunge,"Double Clean\nRack Step Back Lunge",,,"https://www.youtube.com/watch?v=mNt7guHRP4U"
